,Employers,City,State,Jobs,Links
1957,Central Intelligence Agency,Washington,DC,"Undergraduate Internship/Co-op Program - Cartographer, Editor, Graphic or Interactive Designer",https://www.glassdoor.com/partner/jobListing.htm?pos=220&ao=1091461&s=58&guid=000001758af38534b4f39c1e70b67978&src=GD_JOB_AD&t=SR&vt=w&cs=1_a2474b27&cb=1604354017032&jobListingId=3662495288
1958,Excella Consulting,Washington,DC,Senior UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=221&ao=1097130&s=58&guid=000001758af38534b4f39c1e70b67978&src=GD_JOB_AD&t=SR&vt=w&cs=1_5dbd9806&cb=1604354017033&jobListingId=3469807009
1959,Enterprise Knowledge LLC,Washington,DC,UI/UX Consultant,https://www.glassdoor.com/partner/jobListing.htm?pos=222&ao=1091461&s=58&guid=000001758af38534b4f39c1e70b67978&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_95cca099&cb=1604354017034&jobListingId=3670269740
1960,Central Intelligence Agency,Washington,DC,Technical Services/Research Law Librarian,https://www.glassdoor.com/partner/jobListing.htm?pos=223&ao=1091461&s=58&guid=000001758af38534b4f39c1e70b67978&src=GD_JOB_AD&t=SR&vt=w&cs=1_e27e107f&cb=1604354017036&jobListingId=3662494942
1961,IBM,Washington,DC,"Design Researcher, Quantum Team",https://www.glassdoor.com/partner/jobListing.htm?pos=224&ao=128418&s=58&guid=000001758af38534b4f39c1e70b67978&src=GD_JOB_AD&t=SR&vt=w&cs=1_2e230ac6&cb=1604354017036&jobListingId=3726559403
1962,POLITICO,Washington,DC,Interactive Designer/Developer,https://www.glassdoor.com/partner/jobListing.htm?pos=225&ao=1091461&s=58&guid=000001758af38534b4f39c1e70b67978&src=GD_JOB_AD&t=SR&vt=w&cs=1_212e3869&cb=1604354017037&jobListingId=3682271015
1963,George Washington University,Washington,DC,Research Assistant,https://www.glassdoor.com/partner/jobListing.htm?pos=226&ao=37049&s=58&guid=000001758af38534b4f39c1e70b67978&src=GD_JOB_AD&t=SR&vt=w&cs=1_3aab4a26&cb=1604354017038&jobListingId=3704706112
1964,MissionSide,Washington,DC,Associate Experience Director,https://www.glassdoor.com/partner/jobListing.htm?pos=227&ao=148364&s=58&guid=000001758af38534b4f39c1e70b67978&src=GD_JOB_AD&t=SR&vt=w&cs=1_7a8e21bb&cb=1604354017038&jobListingId=3710177564
1965,Avantus,Washington,DC,User Interface / User Experience Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=228&ao=1020558&s=58&guid=000001758af38534b4f39c1e70b67978&src=GD_JOB_AD&t=SR&vt=w&cs=1_611e3ae1&cb=1604354017039&jobListingId=3682872658
1966,Sparks Group,Washington,DC,UX/UI Interactive Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=229&ao=1044072&s=58&guid=000001758af38534b4f39c1e70b67978&src=GD_JOB_AD&t=SR&vt=w&cs=1_db0c3fab&cb=1604354017040&jobListingId=3726114448
1967,Cavan Solutions,Washington,DC,Internship – SWIM Engineering/Operations Research,https://www.glassdoor.com/partner/jobListing.htm?pos=301&ao=1091461&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_20c31e76&cb=1604354032939&jobListingId=3662491832
1968,American Chemical Society,Washington,DC,Market Research Strategist,https://www.glassdoor.com/partner/jobListing.htm?pos=302&ao=1091461&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_a7d8afc1&cb=1604354032940&jobListingId=3662514612
1969,Results for Development,Washington,DC,Nutrition – Research and Policy Analysis Intern,https://www.glassdoor.com/partner/jobListing.htm?pos=303&ao=1091461&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_34be7785&cb=1604354032940&jobListingId=3725942480
1970,Outreach Process Partners,Washington,DC,Research Data Analyst/Statistician,https://www.glassdoor.com/partner/jobListing.htm?pos=304&ao=1091461&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_96790aec&cb=1604354032942&jobListingId=3662495399
1971,Barbaricum,Washington,DC,User Interface/User Experience (UI/UX) Designer - Department of Defense,https://www.glassdoor.com/partner/jobListing.htm?pos=305&ao=148364&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_832f36a5&cb=1604354032943&jobListingId=3689826680
1972,Evidera,Washington,DC,Research Associate II - Modeling and Simulation,https://www.glassdoor.com/partner/jobListing.htm?pos=306&ao=1127720&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_d9e83030&cb=1604354032944&jobListingId=3649291639
1973,World Resources Institute,Washington,DC,"Intern, Lean, Design & Systems Thinking Research, Global Restoration Initiative",https://www.glassdoor.com/partner/jobListing.htm?pos=307&ao=1091461&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_821bc824&cb=1604354032945&jobListingId=3723968007
1974,Two Six Labs,Washington,DC,Research & Products – Front End Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=308&ao=1091461&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_e4160eab&cb=1604354032946&jobListingId=3685384577
1975,The Modern Classrooms Project,Washington,DC,Research Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=309&ao=4341&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_aa4a9940&cb=1604354032946&jobListingId=3723071849
1976,Marriott,Washington,DC,"Senior Director, Guest Experience Enterprise Product",https://www.glassdoor.com/partner/jobListing.htm?pos=310&ao=876320&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_d6a67543&cb=1604354032946&jobListingId=3695496994
1977,Gartner,Washington,DC,Senior Director User Experience,https://www.glassdoor.com/partner/jobListing.htm?pos=311&ao=37049&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_40b6a8e2&cb=1604354032947&jobListingId=3692125628
1978,Cancer Support Community,Washington,DC,Research Director,https://www.glassdoor.com/partner/jobListing.htm?pos=312&ao=1091461&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_93c5ad00&cb=1604354032947&jobListingId=3728086474
1979,Quorum,Washington,DC,Product Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=313&ao=8095&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8082a76a&cb=1604354032947&jobListingId=3722669404
1980,Blue Water Media,Washington,DC,Associate Director of User Design,https://www.glassdoor.com/partner/jobListing.htm?pos=314&ao=1091454&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_f5ca9351&cb=1604354032947&jobListingId=3709619938
1981,Creative Circle ,Washington,DC,CX Research Strategist,https://www.glassdoor.com/partner/jobListing.htm?pos=315&ao=991198&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_f769bcbb&cb=1604354032949&jobListingId=3646301898
1982,Atlas Research,Washington,DC,Human Centered Design / Customer Experience - Team Lead,https://www.glassdoor.com/partner/jobListing.htm?pos=316&ao=4341&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_118eea03&cb=1604354032950&jobListingId=3637808562
1983,Capital One,Washington,DC,User Research/Design Lead,https://www.glassdoor.com/partner/jobListing.htm?pos=317&ao=133055&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_812be5d0&cb=1604354032950&jobListingId=3724608590
1984,EPAM Systems,Washington,DC,UX Researcher,https://www.glassdoor.com/partner/jobListing.htm?pos=318&ao=1091461&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_2c8b220f&cb=1604354032950&jobListingId=3686273568
1985,Excel Technologies,Washington,DC,"Applications Developer Level I, II, III (3+ to 7+ years of experience)",https://www.glassdoor.com/partner/jobListing.htm?pos=319&ao=1091461&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_21dfb170&cb=1604354032951&jobListingId=3670206911
1986,Atlas Research,Washington,DC,Human Centered Design / Customer Experience - Director,https://www.glassdoor.com/partner/jobListing.htm?pos=320&ao=4341&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_80ee6e96&cb=1604354032951&jobListingId=3647986358
1987,Child Trends,Washington,DC,"Research Communications Specialist, Strategic Initiatives",https://www.glassdoor.com/partner/jobListing.htm?pos=321&ao=1091461&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_f85a592c&cb=1604354032951&jobListingId=3716234851
1988,Amazon,Washington,DC,"Senior User Researcher, AWS Emerging Trends",https://www.glassdoor.com/partner/jobListing.htm?pos=322&ao=133043&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_27642ba6&cb=1604354032953&jobListingId=3691650877
1989,SAIC,Washington,DC,SW Engineer - User Experience (UX) Des.,https://www.glassdoor.com/partner/jobListing.htm?pos=323&ao=1091461&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_15d4b4f8&cb=1604354032953&jobListingId=3666871511
1990,CKA LLC,Washington,DC,User Support Center IT Operations Manager,https://www.glassdoor.com/partner/jobListing.htm?pos=324&ao=152916&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_c0f33d23&cb=1604354032954&jobListingId=3723361024
1991,EPAM Systems,Washington,DC,Experience Consultant,https://www.glassdoor.com/partner/jobListing.htm?pos=325&ao=1091461&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_fbfa1f03&cb=1604354032954&jobListingId=3727579864
1992,MGM Resorts International,Washington,DC,Senior Designer (MGM National Harbor),https://www.glassdoor.com/partner/jobListing.htm?pos=326&ao=389134&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_fe09efa3&cb=1604354032954&jobListingId=3707441854
1993,CACI International,Washington,DC,UX Researcher (Up to 25% Profit Sharing Benefit!),https://www.glassdoor.com/partner/jobListing.htm?pos=327&ao=205804&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_d3bdd2c6&cb=1604354032955&jobListingId=3498438689
1994,National Science Foundation,Washington,DC,Chief Officer for Research Facilities,https://www.glassdoor.com/partner/jobListing.htm?pos=328&ao=4120&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_3e89ebd9&cb=1604354032955&jobListingId=3720918837
1995,Applied Information Sciences,Washington,DC,User Experience (UX) Architect,https://www.glassdoor.com/partner/jobListing.htm?pos=329&ao=133628&s=58&guid=000001758af3c3b882806a57c83e00ea&src=GD_JOB_AD&t=SR&vt=w&cs=1_dd171ae4&cb=1604354032956&jobListingId=3728288996
1996,CKA LLC,Washington,DC,User Support Center IT Operations Manager,https://www.glassdoor.com/partner/jobListing.htm?pos=401&ao=152916&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_40236c78&cb=1604354053146&jobListingId=3723361024
1997,7 Eagle Group,Washington,DC,UI/UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=402&ao=315495&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_3359dec3&cb=1604354053146&jobListingId=3723444615
1998,ERPI,Washington,DC,Cognitive/Human Factors Engineer/UI-UX Designer (Active Secret Clearance),https://www.glassdoor.com/partner/jobListing.htm?pos=403&ao=1091454&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_abb9a04a&cb=1604354053147&jobListingId=3693628115
1999,Bizzell Group,Washington,DC,UI/UX Architect Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=404&ao=1091461&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_6f316441&cb=1604354053147&jobListingId=3680322365
2000,Sprezzatura Management Consulting,Washington,DC,Human Center Design: UX/UI Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=405&ao=1091461&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_553273dd&cb=1604354053148&jobListingId=3717959833
2001,CACI International,Washington,DC,UX Researcher (Up to 25% Profit Sharing Benefit!),https://www.glassdoor.com/partner/jobListing.htm?pos=406&ao=205804&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_864616e3&cb=1604354053150&jobListingId=3498438689
2002,Edelman,Washington,DC,"Senior Account Executive, Employee Experience",https://www.glassdoor.com/partner/jobListing.htm?pos=407&ao=3839&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_0ea985a3&cb=1604354053152&jobListingId=3671450611
2003,Applied Information Sciences,Washington,DC,User Experience (UX) Architect,https://www.glassdoor.com/partner/jobListing.htm?pos=408&ao=133628&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_88ecdec1&cb=1604354053153&jobListingId=3728288996
2004,Atlas Research,Washington,DC,Human Centered Design Specialist | UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=409&ao=4341&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a2e50232&cb=1604354053153&jobListingId=3637808563
2005,stanleyreid,Washington,DC,UI/UX Engineer- TS/SCI- REMOTE- up to $200K,https://www.glassdoor.com/partner/jobListing.htm?pos=410&ao=4321&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_7c78ad06&cb=1604354053153&jobListingId=3693666083
2006,Lockheed Martin,Washington,DC,Cyber Applied Research Scientist (AR),https://www.glassdoor.com/partner/jobListing.htm?pos=411&ao=133498&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_9a39445b&cb=1604354053153&jobListingId=3669322159
2007,Frederick National Laboratories,Washington,DC,"Preclinical Research Associate I or II, Development and Optimization",https://www.glassdoor.com/partner/jobListing.htm?pos=412&ao=1044074&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_b617e210&cb=1604354053154&jobListingId=3721221063
2008,"Mobomo, LLC",Washington,DC,UX/UI Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=413&ao=1091461&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_8c101ee0&cb=1604354053154&jobListingId=3670321301
2009,Acumen Solutions,Washington,DC,UX Strategist,https://www.glassdoor.com/partner/jobListing.htm?pos=414&ao=1091461&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_61208ee4&cb=1604354053154&jobListingId=3670312883
2010,NORC at the University of Chicago,Washington,DC,Research Methodologist,https://www.glassdoor.com/partner/jobListing.htm?pos=415&ao=1091461&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_38de676d&cb=1604354053155&jobListingId=3665475626
2011,AINS,Washington,DC,UI/UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=416&ao=4321&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_03255970&cb=1604354053156&jobListingId=3726244588
2012,INCATech,Washington,DC,Jr. UI/UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=417&ao=66506&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_42543226&cb=1604354053156&jobListingId=3716592152
2013,Grant Thornton,Washington,DC,Operations Research Journeyman - Operations Safety and Health Analytics,https://www.glassdoor.com/partner/jobListing.htm?pos=418&ao=4120&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_d55baa58&cb=1604354053157&jobListingId=3724748052
2014,Compass,Washington,DC,Staff Product Designer - CRM,https://www.glassdoor.com/partner/jobListing.htm?pos=419&ao=8095&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_05e2a5a3&cb=1604354053158&jobListingId=3705169406
2015,Volkswagen Group of America,Washington,DC,UX Designer Sr - VW Shopping & Buying,https://www.glassdoor.com/partner/jobListing.htm?pos=420&ao=88458&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_6189889e&cb=1604354053158&jobListingId=3707518253
2016,"Navstar, Inc.",Washington,DC,Frontend UI/UX Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=421&ao=1091461&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_8f73fced&cb=1604354053159&jobListingId=3715402232
2017,Azimuth Corporation,Washington,DC,DTSA End-User Export Intelligence Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=422&ao=1091461&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_508c1710&cb=1604354053159&jobListingId=3670161369
2018,GEICO,Washington,DC,Marketing Research Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=423&ao=1091461&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_9da0f8ba&cb=1604354053160&jobListingId=3691602371
2019,MEDSTAR HEALTH,Washington,DC,Provider Enrollment Representative (Credentialing experience needed!),https://www.glassdoor.com/partner/jobListing.htm?pos=424&ao=1044074&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_2aa63316&cb=1604354053160&jobListingId=3698018016
2020,ERPi,Washington,DC,UI/UX Designer (Active Secret Clearance),https://www.glassdoor.com/partner/jobListing.htm?pos=425&ao=1020558&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_56133eab&cb=1604354053161&jobListingId=3690047404
2021,SAIC,Washington,DC,UI/UX Designer (TS/SCI w/Poly Required),https://www.glassdoor.com/partner/jobListing.htm?pos=426&ao=1091461&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_c4be0691&cb=1604354053161&jobListingId=3670307963
2022,University of Maryland,Washington,DC,"AI, Automation, and Augmentation Engineer in Interdisciplinary Intelligence and Security Research",https://www.glassdoor.com/partner/jobListing.htm?pos=427&ao=1091461&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_61d01dc5&cb=1604354053162&jobListingId=3715301895
2023,D-Tech,Washington,DC,Cybersecurity Research Analyst,https://www.glassdoor.com/partner/jobListing.htm?pos=428&ao=1091461&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_89985f0d&cb=1604354053164&jobListingId=3670343395
2024,Central Intelligence Agency,Washington,DC,Interactive Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=429&ao=1091461&s=58&guid=000001758af41267949614abd0edf7fb&src=GD_JOB_AD&t=SR&vt=w&cs=1_ffa238b5&cb=1604354053162&jobListingId=3662495091
2025,"Aptima, Inc",Washington,DC,UI/UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=501&ao=1091461&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_3d8a8c86&cb=1604354072399&jobListingId=3707611210
2026,Middle Seat,Washington,DC,UI/UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=502&ao=14295&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_def80ffc&cb=1604354072400&jobListingId=3657987295
2027,IBM,Washington,DC,UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=503&ao=128418&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_fa52d181&cb=1604354072401&jobListingId=3725417934
2028,L&E Meridian,Washington,DC,Research & Development Programmer,https://www.glassdoor.com/partner/jobListing.htm?pos=504&ao=1091461&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_ea924840&cb=1604354072402&jobListingId=3670074779
2029,Expression Networks,Washington,DC,UI/UX Engineer,https://www.glassdoor.com/partner/jobListing.htm?pos=505&ao=46442&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_bcc9216e&cb=1604354072402&jobListingId=3728277910
2030,Capital One,Washington,DC,Lead Design Researcher,https://www.glassdoor.com/partner/jobListing.htm?pos=506&ao=242900&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_f7c67c27&cb=1604354072403&jobListingId=3701363252
2031,American Speech-Language-Hearing Association (ASHA),Washington,DC,User Experience Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=507&ao=1091461&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_61ece739&cb=1604354072404&jobListingId=3687562467
2032,Accolades Consulting,Washington,DC,Lead UX Strategist,https://www.glassdoor.com/partner/jobListing.htm?pos=508&ao=66506&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_95e45ff7&cb=1604354072409&jobListingId=3600640755
2033,Deloitte,Washington,DC,UI/UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=509&ao=1091461&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_58fed117&cb=1604354072405&jobListingId=3701639642
2034,Cvent,Washington,DC,Senior User Researcher,https://www.glassdoor.com/partner/jobListing.htm?pos=510&ao=1091461&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_8d6324e8&cb=1604354072406&jobListingId=3670309247
2035,LOCKHEED MARTIN CORPORATION,Washington,DC,Associate Cyber Applied Research Scientist (AR),https://www.glassdoor.com/partner/jobListing.htm?pos=511&ao=1091461&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_c5100c77&cb=1604354072408&jobListingId=3670235090
2036,BAE Systems,Washington,DC,Mobile App Vulnerability Researcher,https://www.glassdoor.com/partner/jobListing.htm?pos=512&ao=1091461&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_bf851726&cb=1604354072409&jobListingId=3670072873
2037,AstraZeneca,Washington,DC,Product Designer -Digital Health,https://www.glassdoor.com/partner/jobListing.htm?pos=513&ao=586841&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_c0650512&cb=1604354072409&jobListingId=3567510247
2038,Grafik,Washington,DC,Freelance UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=514&ao=1091461&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_a7c1a0af&cb=1604354072410&jobListingId=3670144075
2039,Cella,Washington,DC,UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=515&ao=335193&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_71c718ea&cb=1604354072411&jobListingId=3711516598
2040,Excyl Inc.,Washington,DC,UI/UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=516&ao=1091461&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_a2b342c6&cb=1604354072411&jobListingId=3700854451
2041,TheIncLab,Washington,DC,UX/UI Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=517&ao=1091454&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_68c926a0&cb=1604354072415&jobListingId=3718666937
2042,The Motley Fool,Washington,DC,Senior UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=518&ao=1067249&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_e8c4cbc1&cb=1604354072411&jobListingId=3652683052
2043,Marriott,Washington,DC,"Manager, Experience Designer (UX)",https://www.glassdoor.com/partner/jobListing.htm?pos=519&ao=876320&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_592922e4&cb=1604354072412&jobListingId=3719037128
2044,Marriott,Washington,DC,"Manager, Experience Designer, Digital Standards",https://www.glassdoor.com/partner/jobListing.htm?pos=520&ao=876320&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_8552a5aa&cb=1604354072412&jobListingId=3720307767
2045,ControlCase,Washington,DC,User experience (UX) designer,https://www.glassdoor.com/partner/jobListing.htm?pos=521&ao=1091461&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_8dd117b6&cb=1604354072413&jobListingId=3670170930
2046,"Ridgeline International, Inc.",Washington,DC,UX-UI Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=522&ao=1091461&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_b9049d2b&cb=1604354072414&jobListingId=3670308540
2047,Aquent,Washington,DC,Senior UX / Product Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=523&ao=1044072&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_9a26ccb0&cb=1604354072415&jobListingId=3683840959
2048,Graphicacy,Washington,DC,UX Designer,https://www.glassdoor.com/partner/jobListing.htm?pos=524&ao=1091461&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_ef920891&cb=1604354072415&jobListingId=3662499979
2049,Ad Hoc Team,Washington,DC,Senior Researcher,https://www.glassdoor.com/partner/jobListing.htm?pos=525&ao=8095&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&ea=1&cs=1_1fb11614&cb=1604354072415&jobListingId=3710610316
2050,Karsun Solutions LLC,Washington,DC,UI/UX Designer (Remote),https://www.glassdoor.com/partner/jobListing.htm?pos=526&ao=1020558&s=58&guid=000001758af45d7a9a4b9a1dd4d2f7f6&src=GD_JOB_AD&t=SR&vt=w&cs=1_a5868b7a&cb=1604354072417&jobListingId=3713035535
